NroOrden,1,
Fecha Estimada,17/06/2015,
Cliente,20123456789,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,1,2
2,2,2
FIN DETALLE,,
NroOrden,2,
Fecha Estimada,17/06/2015,
Cliente,20876543217,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,1,2
2,2,2
FIN DETALLE,,
NroOrden,3,
Fecha Estimada,17/06/2015,
Cliente,20345928746,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,5,2
2,6,2
FIN DETALLE,,
NroOrden,4,
Fecha Estimada,17/06/2015,
Cliente,10345698237,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,7,2
2,8,2
FIN DETALLE,,
NroOrden,5,
Fecha Estimada,17/06/2015,
Cliente,20342197566,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,9,2
2,10,2
FIN DETALLE,,
NroOrden,6,
Fecha Estimada,17/06/2015,
Cliente,20123456789,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,11,2
2,12,2
FIN DETALLE,,
NroOrden,7,
Fecha Estimada,17/06/2015,
Cliente,20342197566,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,13,2
2,14,2
FIN DETALLE,,
NroOrden,8,
Fecha Estimada,17/06/2015,
Cliente,20123456789,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,15,2
2,16,2
FIN DETALLE,,
NroOrden,9,
Fecha Estimada,17/06/2015,
Cliente,20123456789,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,17,2
2,18,2
FIN DETALLE,,
NroOrden,10,
Fecha Estimada,17/06/2015,
Cliente,20123456789,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,19,2
2,20,2
FIN DETALLE,,
NroOrden,11,
Fecha Estimada,17/06/2015,
Cliente,20123456789,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,1,2
2,2,2
FIN DETALLE,,
NroOrden,12,
Fecha Estimada,17/06/2015,
Cliente,20123456789,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,3,2
2,4,2
FIN DETALLE,,
NroOrden,13,
Fecha Estimada,17/06/2015,
Cliente,20876543217,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,5,2
2,6,2
FIN DETALLE,,
NroOrden,14,
Fecha Estimada,17/06/2015,
Cliente,20123456789,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,7,2
2,8,2
FIN DETALLE,,
NroOrden,15,
Fecha Estimada,17/06/2015,
Cliente,20123456789,
Estado,2,
DETALLE,,
Nro Linea,idProducto,Cantidad Pallets
1,9,2
2,10,2
FIN DETALLE,,
