Location_Cell_Rack_idRack,Location_Cell_idLocation_Cell,row_cell,column_cell,idLocation_Cell_Detail,availability,Location_Cell_idLocation_Cell
1,1,1,1,1,0,1
1,1,1,1,2,1,1
1,2,1,2,1,0,2
1,2,1,2,2,1,2
1,3,1,3,1,1,3
1,3,1,3,2,1,3
1,4,1,4,1,0,4
1,4,1,4,2,1,4
1,5,1,5,1,0,5
1,5,1,5,2,1,5
1,6,1,6,1,1,6
1,6,1,6,2,1,6
1,7,1,7,1,1,7
1,7,1,7,2,1,7
1,8,1,8,1,1,8
1,8,1,8,2,1,8
1,9,1,9,1,0,9
1,9,1,9,2,1,9
1,10,1,10,1,1,10
1,10,1,10,2,1,10
1,6,2,1,1,1,6
1,6,2,1,2,1,6
1,11,2,1,1,0,11
1,11,2,1,2,1,11
1,7,2,2,1,1,7
1,7,2,2,2,1,7
1,12,2,2,1,1,12
1,12,2,2,2,1,12
1,8,2,3,1,1,8
1,8,2,3,2,1,8
1,13,2,3,1,1,13
1,13,2,3,2,1,13
1,9,2,4,1,1,9
1,9,2,4,2,1,9
1,14,2,4,1,1,14
1,14,2,4,2,1,14
1,10,2,5,1,1,10
1,10,2,5,2,1,10
1,15,2,5,1,1,15
1,15,2,5,2,1,15
1,16,2,6,1,1,16
1,16,2,6,2,1,16
1,17,2,7,1,1,17
1,17,2,7,2,1,17
1,18,2,8,1,1,18
1,18,2,8,2,1,18
1,19,2,9,1,1,19
1,19,2,9,2,1,19
1,20,2,10,1,1,20
1,20,2,10,2,1,20
1,11,3,1,1,1,11
1,11,3,1,2,1,11
1,21,3,1,1,1,21
1,21,3,1,2,1,21
1,12,3,2,1,1,12
1,12,3,2,2,1,12
1,22,3,2,1,1,22
1,22,3,2,2,1,22
1,13,3,3,1,1,13
1,13,3,3,2,1,13
1,23,3,3,1,1,23
1,23,3,3,2,1,23
1,14,3,4,1,1,14
1,14,3,4,2,1,14
1,24,3,4,1,1,24
1,24,3,4,2,1,24
1,15,3,5,1,1,15
1,15,3,5,2,1,15
1,25,3,5,1,1,25
1,25,3,5,2,1,25
1,26,3,6,1,1,26
1,26,3,6,2,1,26
1,27,3,7,1,1,27
1,27,3,7,2,1,27
1,28,3,8,1,1,28
1,28,3,8,2,1,28
1,29,3,9,1,1,29
1,29,3,9,2,1,29
1,30,3,10,1,1,30
1,30,3,10,2,1,30
1,16,4,1,1,1,16
1,16,4,1,2,1,16
1,31,4,1,1,1,31
1,31,4,1,2,1,31
1,17,4,2,1,1,17
1,17,4,2,2,1,17
1,32,4,2,1,1,32
1,32,4,2,2,1,32
1,18,4,3,1,1,18
1,18,4,3,2,1,18
1,33,4,3,1,1,33
1,33,4,3,2,1,33
1,19,4,4,1,1,19
1,19,4,4,2,1,19
1,34,4,4,1,1,34
1,34,4,4,2,1,34
1,20,4,5,1,1,20
1,20,4,5,2,1,20
1,35,4,5,1,1,35
1,35,4,5,2,1,35
1,36,4,6,1,1,36
1,36,4,6,2,1,36
1,37,4,7,1,1,37
1,37,4,7,2,1,37
1,38,4,8,1,1,38
1,38,4,8,2,1,38
1,39,4,9,1,1,39
1,39,4,9,2,1,39
1,40,4,10,1,1,40
1,40,4,10,2,1,40
1,21,5,1,1,1,21
1,21,5,1,2,1,21
1,41,5,1,1,1,41
1,41,5,1,2,1,41
1,22,5,2,1,1,22
1,22,5,2,2,1,22
1,42,5,2,1,1,42
1,42,5,2,2,1,42
1,23,5,3,1,1,23
1,23,5,3,2,1,23
1,43,5,3,1,1,43
1,43,5,3,2,1,43
1,24,5,4,1,1,24
1,24,5,4,2,1,24
1,44,5,4,1,1,44
1,44,5,4,2,1,44
1,25,5,5,1,1,25
1,25,5,5,2,1,25
1,45,5,5,1,1,45
1,45,5,5,2,1,45
1,46,5,6,1,1,46
1,46,5,6,2,1,46
1,47,5,7,1,1,47
1,47,5,7,2,1,47
1,48,5,8,1,1,48
1,48,5,8,2,1,48
1,49,5,9,1,1,49
1,49,5,9,2,1,49
1,50,5,10,1,1,50
1,50,5,10,2,1,50
1,26,6,1,1,1,26
1,26,6,1,2,1,26
1,27,6,2,1,1,27
1,27,6,2,2,1,27
1,28,6,3,1,1,28
1,28,6,3,2,1,28
1,29,6,4,1,1,29
1,29,6,4,2,1,29
1,30,6,5,1,1,30
1,30,6,5,2,1,30
1,31,7,1,1,1,31
1,31,7,1,2,1,31
1,32,7,2,1,1,32
1,32,7,2,2,1,32
1,33,7,3,1,1,33
1,33,7,3,2,1,33
1,34,7,4,1,1,34
1,34,7,4,2,1,34
1,35,7,5,1,1,35
1,35,7,5,2,1,35
1,36,8,1,1,1,36
1,36,8,1,2,1,36
1,37,8,2,1,1,37
1,37,8,2,2,1,37
1,38,8,3,1,1,38
1,38,8,3,2,1,38
1,39,8,4,1,1,39
1,39,8,4,2,1,39
1,40,8,5,1,1,40
1,40,8,5,2,1,40
1,41,9,1,1,1,41
1,41,9,1,2,1,41
1,42,9,2,1,1,42
1,42,9,2,2,1,42
1,43,9,3,1,1,43
1,43,9,3,2,1,43
1,44,9,4,1,1,44
1,44,9,4,2,1,44
1,45,9,5,1,1,45
1,45,9,5,2,1,45
1,46,10,1,1,1,46
1,46,10,1,2,1,46
1,47,10,2,1,1,47
1,47,10,2,2,1,47
1,48,10,3,1,1,48
1,48,10,3,2,1,48
1,49,10,4,1,1,49
1,49,10,4,2,1,49
1,50,10,5,1,1,50
1,50,10,5,2,1,50
2,1,1,1,1,1,1
2,1,1,1,2,1,1
2,2,1,2,2,1,2
2,2,1,2,1,1,2
2,3,1,3,1,1,3
2,3,1,3,2,1,3
2,4,1,4,2,1,4
2,4,1,4,1,1,4
2,5,1,5,1,1,5
2,5,1,5,2,1,5
2,6,1,6,2,1,6
2,6,1,6,1,1,6
2,7,1,7,2,1,7
2,7,1,7,1,1,7
2,8,1,8,2,1,8
2,8,1,8,1,1,8
2,9,1,9,2,1,9
2,9,1,9,1,1,9
2,10,1,10,2,1,10
2,10,1,10,1,1,10
2,11,2,1,2,1,11
2,6,2,1,1,1,6
2,6,2,1,2,1,6
2,11,2,1,1,1,11
2,12,2,2,2,1,12
2,7,2,2,1,1,7
2,7,2,2,2,1,7
2,12,2,2,1,1,12
2,13,2,3,2,1,13
2,8,2,3,1,1,8
2,8,2,3,2,1,8
2,13,2,3,1,1,13
2,14,2,4,2,1,14
2,9,2,4,1,1,9
2,9,2,4,2,1,9
2,14,2,4,1,1,14
2,15,2,5,2,1,15
2,10,2,5,1,1,10
2,10,2,5,2,1,10
2,15,2,5,1,1,15
2,16,2,6,2,1,16
2,16,2,6,1,1,16
2,17,2,7,2,1,17
2,17,2,7,1,1,17
2,18,2,8,2,1,18
2,18,2,8,1,1,18
2,19,2,9,2,1,19
2,19,2,9,1,1,19
2,20,2,10,2,1,20
2,20,2,10,1,1,20
2,21,3,1,2,1,21
2,11,3,1,1,1,11
2,11,3,1,2,1,11
2,21,3,1,1,1,21
2,22,3,2,2,1,22
2,12,3,2,1,1,12
2,12,3,2,2,1,12
2,22,3,2,1,1,22
2,23,3,3,2,1,23
2,13,3,3,1,1,13
2,13,3,3,2,1,13
2,23,3,3,1,1,23
2,24,3,4,2,1,24
2,14,3,4,1,1,14
2,14,3,4,2,1,14
2,24,3,4,1,1,24
2,25,3,5,2,1,25
2,15,3,5,1,1,15
2,15,3,5,2,1,15
2,25,3,5,1,1,25
2,26,3,6,2,1,26
2,26,3,6,1,1,26
2,27,3,7,2,1,27
2,27,3,7,1,1,27
2,28,3,8,2,1,28
2,28,3,8,1,1,28
2,29,3,9,2,1,29
2,29,3,9,1,1,29
2,30,3,10,2,1,30
2,30,3,10,1,1,30
2,31,4,1,2,1,31
2,16,4,1,1,1,16
2,16,4,1,2,1,16
2,31,4,1,1,1,31
2,32,4,2,2,1,32
2,17,4,2,1,1,17
2,17,4,2,2,1,17
2,32,4,2,1,1,32
2,33,4,3,2,1,33
2,18,4,3,1,1,18
2,18,4,3,2,1,18
2,33,4,3,1,1,33
2,34,4,4,2,1,34
2,19,4,4,1,1,19
2,19,4,4,2,1,19
2,34,4,4,1,1,34
2,35,4,5,2,1,35
2,20,4,5,1,1,20
2,20,4,5,2,1,20
2,35,4,5,1,1,35
2,36,4,6,2,1,36
2,36,4,6,1,1,36
2,37,4,7,2,1,37
2,37,4,7,1,1,37
2,38,4,8,2,1,38
2,38,4,8,1,1,38
2,39,4,9,2,1,39
2,39,4,9,1,1,39
2,40,4,10,2,1,40
2,40,4,10,1,1,40
2,41,5,1,2,1,41
2,21,5,1,1,1,21
2,21,5,1,2,1,21
2,41,5,1,1,1,41
2,42,5,2,2,1,42
2,22,5,2,1,1,22
2,22,5,2,2,1,22
2,42,5,2,1,1,42
2,43,5,3,2,1,43
2,23,5,3,1,1,23
2,23,5,3,2,1,23
2,43,5,3,1,1,43
2,44,5,4,2,1,44
2,24,5,4,1,1,24
2,24,5,4,2,1,24
2,44,5,4,1,1,44
2,45,5,5,2,1,45
2,25,5,5,1,1,25
2,25,5,5,2,1,25
2,45,5,5,1,1,45
2,46,5,6,2,1,46
2,46,5,6,1,1,46
2,47,5,7,2,1,47
2,47,5,7,1,1,47
2,48,5,8,2,1,48
2,48,5,8,1,1,48
2,49,5,9,2,1,49
2,49,5,9,1,1,49
2,50,5,10,2,1,50
2,50,5,10,1,1,50
2,26,6,1,1,1,26
2,26,6,1,2,1,26
2,51,6,1,1,1,51
2,51,6,1,2,1,51
2,52,6,2,2,1,52
2,27,6,2,1,1,27
2,27,6,2,2,1,27
2,52,6,2,1,1,52
2,53,6,3,1,1,53
2,53,6,3,2,1,53
