Location_Cell_Rack_Warehouse_idWarehouse,Location_Cell_Rack_idRack,Location_Cell_idLocation_Cell,row_cell,column_cell,idLocation_Cell_Detail,availability,"if(p.Pallet_By_Product_Pallet_idPallet is NULL,0,p.Pallet_By_Product_Pallet_idPallet)","if(p.Pallet_By_Product_Product_idProduct is NULL,0,p.Pallet_By_Product_Product_idProduct)"
1,1,1,1,1,1,0,1,1
1,1,1,1,1,2,0,161,11
1,1,2,1,2,1,0,2,1
1,1,2,1,2,2,0,162,11
1,1,3,1,3,1,1,3,1
1,1,3,1,3,2,0,163,11
1,1,4,1,4,1,0,4,1
1,1,4,1,4,2,0,164,11
1,1,5,1,5,1,0,5,1
1,1,5,1,5,2,0,165,11
1,1,6,1,6,1,0,6,1
1,1,6,1,6,2,1,181,13
1,1,7,1,7,1,0,7,1
1,1,7,1,7,2,0,182,13
1,1,8,1,8,1,0,8,1
1,1,8,1,8,2,0,183,13
1,1,9,1,9,1,0,9,1
1,1,9,1,9,2,0,184,13
1,1,10,1,10,1,0,10,1
1,1,10,1,10,2,0,185,13
1,1,11,2,1,1,0,11,1
1,1,11,2,1,2,0,186,13
1,1,12,2,2,1,0,12,1
1,1,12,2,2,2,0,187,13
1,1,13,2,3,1,0,13,1
1,1,13,2,3,2,0,188,13
1,1,14,2,4,1,0,14,1
1,1,14,2,4,2,0,189,13
1,1,15,2,5,1,0,15,1
1,1,15,2,5,2,0,190,13
1,1,16,2,6,1,0,31,3
1,1,16,2,6,2,0,191,13
1,1,17,2,7,1,0,32,3
1,1,17,2,7,2,0,192,13
1,1,18,2,8,1,0,33,3
1,1,18,2,8,2,0,193,13
1,1,19,2,9,1,0,34,3
1,1,19,2,9,2,0,194,13
1,1,20,2,10,1,0,35,3
1,1,20,2,10,2,0,195,13
1,1,21,3,1,1,0,36,3
1,1,21,3,1,2,0,211,15
1,1,22,3,2,1,0,37,3
1,1,22,3,2,2,0,212,15
1,1,23,3,3,1,0,38,3
1,1,23,3,3,2,0,213,15
1,1,24,3,4,1,0,39,3
1,1,24,3,4,2,0,214,15
1,1,25,3,5,1,0,40,3
1,1,25,3,5,2,0,215,15
1,1,26,3,6,1,0,41,3
1,1,26,3,6,2,0,216,15
1,1,27,3,7,1,0,42,3
1,1,27,3,7,2,0,217,15
1,1,28,3,8,1,0,43,3
1,1,28,3,8,2,0,218,15
1,1,29,3,9,1,0,44,3
1,1,29,3,9,2,0,219,15
1,1,30,3,10,1,0,45,3
1,1,30,3,10,2,0,220,15
1,1,31,4,1,1,0,61,5
1,1,31,4,1,2,0,221,15
1,1,32,4,2,1,0,62,5
1,1,32,4,2,2,0,222,15
1,1,33,4,3,1,0,63,5
1,1,33,4,3,2,0,223,15
1,1,34,4,4,1,0,64,5
1,1,34,4,4,2,0,224,15
1,1,35,4,5,1,0,65,5
1,1,35,4,5,2,0,225,15
1,1,36,4,6,1,0,66,5
1,1,36,4,6,2,0,241,17
1,1,37,4,7,1,0,67,5
1,1,37,4,7,2,0,242,17
1,1,38,4,8,1,0,68,5
1,1,38,4,8,2,0,243,17
1,1,39,4,9,1,0,69,5
1,1,39,4,9,2,0,244,17
1,1,40,4,10,1,0,70,5
1,1,40,4,10,2,0,245,17
1,1,41,5,1,1,0,71,5
1,1,41,5,1,2,0,246,17
1,1,42,5,2,1,0,72,5
1,1,42,5,2,2,0,247,17
1,1,43,5,3,1,0,73,5
1,1,43,5,3,2,0,248,17
1,1,44,5,4,1,0,74,5
1,1,44,5,4,2,0,249,17
1,1,45,5,5,1,0,75,5
1,1,45,5,5,2,0,250,17
1,1,46,5,6,1,0,91,7
1,1,46,5,6,2,0,251,17
1,1,47,5,7,1,0,92,7
1,1,47,5,7,2,0,252,17
1,1,48,5,8,1,0,93,7
1,1,48,5,8,2,0,253,17
1,1,49,5,9,1,0,94,7
1,1,49,5,9,2,0,254,17
1,1,50,5,10,1,0,95,7
1,1,50,5,10,2,0,255,17
1,1,51,6,1,1,0,96,7
1,1,51,6,1,2,0,271,19
1,1,52,6,2,1,0,97,7
1,1,52,6,2,2,0,272,19
1,1,53,6,3,1,0,98,7
1,1,53,6,3,2,0,273,19
1,1,54,6,4,1,0,99,7
1,1,54,6,4,2,0,274,19
1,1,55,6,5,1,0,100,7
1,1,55,6,5,2,0,275,19
1,1,56,6,6,1,0,101,7
1,1,56,6,6,2,0,276,19
1,1,57,6,7,1,0,102,7
1,1,57,6,7,2,0,277,19
1,1,58,6,8,1,0,103,7
1,1,58,6,8,2,0,278,19
1,1,59,6,9,1,0,104,7
1,1,59,6,9,2,0,279,19
1,1,60,6,10,1,0,105,7
1,1,60,6,10,2,0,280,19
1,1,61,7,1,1,0,106,8
1,1,61,7,1,2,0,281,19
1,1,62,7,2,1,0,107,8
1,1,62,7,2,2,0,282,19
1,1,63,7,3,1,0,108,8
1,1,63,7,3,2,0,283,19
1,1,64,7,4,1,0,109,8
1,1,64,7,4,2,0,284,19
1,1,65,7,5,1,0,110,8
1,1,65,7,5,2,0,285,19
1,1,66,7,6,1,0,111,8
1,1,66,7,6,2,0,286,20
1,1,67,7,7,1,0,112,8
1,1,67,7,7,2,0,287,20
1,1,68,7,8,1,0,113,8
1,1,68,7,8,2,0,288,20
1,1,69,7,9,1,0,114,8
1,1,69,7,9,2,0,289,20
1,1,70,7,10,1,0,115,8
1,1,70,7,10,2,0,290,20
1,1,71,8,1,1,0,116,8
1,1,71,8,1,2,0,291,20
1,1,72,8,2,1,0,117,8
1,1,72,8,2,2,0,292,20
1,1,73,8,3,1,0,118,8
1,1,73,8,3,2,0,293,20
1,1,74,8,4,1,0,119,8
1,1,74,8,4,2,0,294,20
1,1,75,8,5,1,0,120,8
1,1,75,8,5,2,0,295,20
1,1,76,8,6,1,0,121,9
1,1,76,8,6,2,0,296,20
1,1,77,8,7,1,0,122,9
1,1,77,8,7,2,0,297,20
1,1,78,8,8,1,0,123,9
1,1,78,8,8,2,0,298,20
1,1,79,8,9,1,0,124,9
1,1,79,8,9,2,0,299,20
1,1,80,8,10,1,0,125,9
1,1,80,8,10,2,0,300,20
1,1,81,9,1,1,0,126,9
1,1,81,9,1,2,0,302,1
1,1,82,9,2,1,0,127,9
1,1,82,9,2,2,1,0,0
1,1,83,9,3,1,0,128,9
1,1,83,9,3,2,1,0,0
1,1,84,9,4,1,0,129,9
1,1,84,9,4,2,1,0,0
1,1,85,9,5,1,0,130,9
1,1,85,9,5,2,1,0,0
1,1,86,9,6,1,0,131,9
1,1,86,9,6,2,1,0,0
1,1,87,9,7,1,0,132,9
1,1,87,9,7,2,1,0,0
1,1,88,9,8,1,0,133,9
1,1,88,9,8,2,0,306,3
1,1,89,9,9,1,0,134,9
1,1,89,9,9,2,1,0,0
1,1,90,9,10,1,0,135,9
1,1,90,9,10,2,1,0,0
1,1,91,10,1,1,0,151,11
1,1,91,10,1,2,1,0,0
1,1,92,10,2,1,0,152,11
1,1,92,10,2,2,0,310,1
1,1,93,10,3,1,0,153,11
1,1,93,10,3,2,1,0,0
1,1,94,10,4,1,0,154,11
1,1,94,10,4,2,1,0,0
1,1,95,10,5,1,0,155,11
1,1,95,10,5,2,1,0,0
1,1,96,10,6,1,0,156,11
1,1,96,10,6,2,1,0,0
1,1,97,10,7,1,0,157,11
1,1,97,10,7,2,1,0,0
1,1,98,10,8,1,0,158,11
1,1,98,10,8,2,1,0,0
1,1,99,10,9,1,0,159,11
1,1,99,10,9,2,1,0,0
1,1,100,10,10,1,0,160,11
1,1,100,10,10,2,1,0,0
