idClient,ruc,name,address,priority,pos_x,pos_y,status
1,20123456789,Tienda Esperanza,Av Canaval y Moreyra 123,1,260,162,1
2,20876543217,Tienda Flama Bebe,Av Canaval y Moreyra 345,2,369,130,1
3,20345928746,Super Mercado Metro,Av Canaval y Moreyra 240,1,250,138,1
4,10345698237,Super Mercado Vivanda,Av Las Begonias 450,3,181,249,1
5,20342197566,Distribuidora Blin Blin,Av Navarrete 345,1,155,367,1
6,10345678927,Super Mercado Tottus,Av Las Camelias 234,3,85,198,1
7,18439849222,Tienda Refurinfuyflay,Av Los Zorzales 678,1,539,41,1
8,23446556775,Super Mercado Aguas Calientes,Av Rio de la Plata 5632,2,546,117,1
9,13456893234,Super Mercado La Paz,Av Brazil 1246,1,729,78,1
10,49373920333,Tienda La Mami,Av Canada 7845,5,720,172,1
11,32457832923,Tienda El rincon del sabor,Av Canada 1232,4,850,143,1
12,83494999372,Super Mercado Sabor Peruano,Av Chinchon 931,5,875,285,1
13,29598922400,Tienda Las Mil y Una Noches,Av Tingo Maria 3434,1,888,183,1
14,10503089392,Super Mercado Yo Soy,Av Bolivar 3910,5,755,402,1
15,20485291948,Tienda El Arbolito,Av Sucre 1919,2,645,416,1
16,19294030302,Tienda Mas y Mas y Mas,Av La Marina 5656,5,540,349,1
17,18693919266,Tienda Etequetete,Av Wilson 3355,1,423,411,1
18,78328923493,Super Mercado La Voz,Av Arequipa 1212,4,251,493,1
19,45459284022,Tienda Charizard Approves,Av Bollany 5656,1,236,401,1
20,30302095494,Distribuidora Vendetta,Av Urubamba 123,6,92,402,1
21,45898989321,Tienda Traffic Trades,Av El Salvador 5902,4,107,489,1
22,56839201853,Distribuidora el Cerdito Feliz,Av General Cortez 4523,3,51,323,1
23,18500000423,Tienda el Pony,Av Amador Merino Reyna 1234,1,81,242,1
24,28998989897,Super Mercado  Santa Isabel,Av El Sol de Mexico 9090,1,178,310,1
25,38903881890,Super Mercado Makro,Av Buena Vista 4723,2,398,203,1
26,48954920394,Tienda Al infinito y mas alla,Av Cambrialy 2828,2,817,552,1
27,22229454954,Tienda GOT,Av. Siempre Viva 189,1,724,466,1
28,67923493939,Tienda Supernatural,Av Javier Prado 8980,1,539,372,1
29,70234970703,Distribuidora Dos mas y nos vamos,Av La Peruanidad 290,5,987,184,1
30,38111100042,Tienda Magikarp Splash,Av Florida 5190,5,999,335,1
